geoid,name,income
01,Alabama,25796
02,Alaska,33262
04,Arizona,30262
05,Arkansas,25558
06,California,32155
08,Colorado,35913
09,Connecticut,36835
10,Delaware,32371
11,District of Columbia,50978
12,Florida,27544
13,Georgia,30111
15,Hawaii,34531
16,Idaho,27174
17,Illinois,32431
18,Indiana,30099
19,Iowa,31586
20,Kansas,30328
21,Kentucky,26533
22,Louisiana,25761
23,Maine,29922
24,Maryland,39520
25,Massachusetts,37090
26,Michigan,29563
27,Minnesota,35751
28,Mississippi,24123
29,Missouri,29455
30,Montana,28206
31,Nebraska,31581
32,Nevada,31294
33,New Hampshire,34841
34,New Jersey,38019
35,New Mexico,25353
36,New York,33799
37,North Carolina,28662
38,North Dakota,35659
39,Ohio,30141
40,Oklahoma,27099
41,Oregon,31087
42,Pennsylvania,30814
44,Rhode Island,31884
45,South Carolina,26869
46,South Dakota,30768
47,Tennessee,27390
48,Texas,30462
49,Utah,31006
50,Vermont,31034
51,Virginia,35024
53,Washington,36009
54,West Virginia,24616
55,Wisconsin,31971
56,Wyoming,31234
